cid,entry_date,entry_price,exit_date,exit_price,exit_type,gross_return,hold_days,es,recon_date
JITOSOL-USD,2025-08-01,198.4488067626953,2025-08-12,238.13856811523436,TP,0.19999999999999996,11,E4,2025-07-31
FIDA-USD,2025-08-01,0.096841000020504,2025-08-12,0.11249899864196777,TP,0.16168770064485632,11,E4,2025-07-31
GALA-USD,2025-08-08,0.01697699911892414,2025-08-18,0.01578860918059945,SL,-0.07000000000000002,10,E4,2025-07-31
PONKE-USD,2025-08-01,0.11103600263595581,2025-08-12,0.13189899921417236,TP,0.18789398107763539,11,E4,2025-07-31
SLERF-USD,2025-08-01,0.06765999644994736,2025-08-10,0.07525999844074249,TP,0.11232637288737322,9,E4,2025-07-31
KMNO-USD,2025-08-01,0.05049299821257591,2025-08-12,0.06059159785509109,TP,0.19999999999999996,11,E4,2025-07-31
PYUSD-USD,2025-08-01,0.9992780089378357,2025-09-30,0.999783992767334,MAXHOLD,0.0005063494092460988,60,E4,2025-07-31
HNT-USD,2025-08-01,2.829533100128174,2025-08-13,2.6314657831192014,SL,-0.07000000000000008,12,E4,2025-07-31
IOTX-USD,2025-08-01,0.02852500043809414,2025-09-04,0.026528250407427546,SL,-0.0700000000000001,34,E4,2025-07-31
ZETA-USD,2025-08-01,0.18191200494766235,2025-09-22,0.16917816460132598,SL,-0.07000000000000005,52,E4,2025-07-31
STSOL-USD,2025-08-01,197.48574829101562,2025-08-12,236.98289794921874,TP,0.19999999999999996,11,E4,2025-07-31
BSOL-USD,2025-08-01,200.96871948242188,2025-08-12,241.16246337890624,TP,0.19999999999999996,11,E4,2025-07-31
CHILLGUY-USD,2025-08-01,0.05306199938058853,2025-08-14,0.04934765942394733,SL,-0.07000000000000006,13,E4,2025-07-31
ZEREBRO-USD,2025-08-01,0.026467999443411827,2025-08-09,0.031300000846385956,TP,0.1825601293858598,8,E4,2025-07-31
