cid,entry_date,exit_date,gross_return,hold_days,exit_type,recon_date
FIDA-USD,2025-08-01,2025-08-21,0.05332449490024411,20,FIXED_20d,2025-07-31
GALA-USD,2025-08-08,2025-08-28,-0.055074482220937575,20,FIXED_20d,2025-07-31
PONKE-USD,2025-08-01,2025-08-21,0.04963255720324767,20,FIXED_20d,2025-07-31
SLERF-USD,2025-08-01,2025-08-21,0.20016262219927364,20,FIXED_20d,2025-07-31
KMNO-USD,2025-08-01,2025-08-21,0.19935442464651498,20,FIXED_20d,2025-07-31
PYUSD-USD,2025-08-01,2025-08-21,0.00011607444344362214,20,FIXED_20d,2025-07-31
HNT-USD,2025-08-01,2025-08-21,-0.045564084428596684,20,FIXED_20d,2025-07-31
IOTX-USD,2025-08-01,2025-08-21,0.04007008377756576,20,FIXED_20d,2025-07-31
ZETA-USD,2025-08-01,2025-08-21,0.11647933454282257,20,FIXED_20d,2025-07-31
STSOL-USD,2025-08-01,2025-08-21,0.23130423925159008,20,FIXED_20d,2025-07-31
BSOL-USD,2025-08-01,2025-08-21,0.23753698174871074,20,FIXED_20d,2025-07-31
CHILLGUY-USD,2025-08-01,2025-08-21,-0.0705212443769964,20,FIXED_20d,2025-07-31
ZEREBRO-USD,2025-08-01,2025-08-21,0.014772589164778723,20,FIXED_20d,2025-07-31
WIF-USD,2025-09-01,2025-09-21,0.048198288834605335,20,FIXED_20d,2025-08-31
RAY-USD,2025-09-01,2025-09-21,-0.15863227556537965,20,FIXED_20d,2025-08-31
RENDER-USD,2025-09-01,2025-09-21,0.10452973769222758,20,FIXED_20d,2025-08-31
FARTCOIN-USD,2025-09-01,2025-09-21,-0.12502659282912162,20,FIXED_20d,2025-08-31
ORCA-USD,2025-09-01,2025-09-21,-0.07058282059015679,20,FIXED_20d,2025-08-31
MNDE-USD,2025-09-01,2025-09-21,0.08742451454544732,20,FIXED_20d,2025-08-31
MSOL-USD,2025-09-01,2025-09-21,0.1233520884007248,20,FIXED_20d,2025-08-31
JITOSOL-USD,2025-09-01,2025-09-21,0.12270166391830159,20,FIXED_20d,2025-08-31
FIDA-USD,2025-09-01,2025-09-21,-0.013283253930981865,20,FIXED_20d,2025-08-31
GALA-USD,2025-09-01,2025-09-21,-0.016179778801471867,20,FIXED_20d,2025-08-31
PONKE-USD,2025-09-01,2025-09-21,-0.05817886290658693,20,FIXED_20d,2025-08-31
MYRO-USD,2025-09-01,2025-09-21,-0.054638861980439137,20,FIXED_20d,2025-08-31
SLERF-USD,2025-09-01,2025-09-21,0.08940513308979403,20,FIXED_20d,2025-08-31
KMNO-USD,2025-09-01,2025-09-21,0.4317593213981826,20,FIXED_20d,2025-08-31
PYUSD-USD,2025-09-01,2025-09-21,0.00012301826108589525,20,FIXED_20d,2025-08-31
HNT-USD,2025-09-01,2025-09-21,-0.06336022700013648,20,FIXED_20d,2025-08-31
IOTX-USD,2025-09-01,2025-09-21,-0.13087721557510856,20,FIXED_20d,2025-08-31
ZETA-USD,2025-09-01,2025-09-21,-0.029809984851752874,20,FIXED_20d,2025-08-31
STSOL-USD,2025-09-01,2025-09-21,0.1173744083942825,20,FIXED_20d,2025-08-31
BSOL-USD,2025-09-01,2025-09-21,0.12517816801120085,20,FIXED_20d,2025-08-31
CHILLGUY-USD,2025-09-01,2025-09-21,0.013888544980531468,20,FIXED_20d,2025-08-31
ZEREBRO-USD,2025-09-01,2025-09-21,-0.004008553769070174,20,FIXED_20d,2025-08-31
WIF-USD,2025-10-01,2025-10-21,-0.3566738460069723,20,FIXED_20d,2025-09-30
RAY-USD,2025-10-01,2025-10-21,-0.4156021026881879,20,FIXED_20d,2025-09-30
RENDER-USD,2025-10-01,2025-10-21,-0.32778257019661905,20,FIXED_20d,2025-09-30
FARTCOIN-USD,2025-10-01,2025-10-21,-0.47701678466088426,20,FIXED_20d,2025-09-30
ORCA-USD,2025-10-01,2025-10-21,-0.31204206188422784,20,FIXED_20d,2025-09-30
MNDE-USD,2025-10-01,2025-10-21,-0.25992858829372434,20,FIXED_20d,2025-09-30
MSOL-USD,2025-10-01,2025-10-21,-0.1844639057625929,20,FIXED_20d,2025-09-30
JITOSOL-USD,2025-10-01,2025-10-21,-0.18482386206285317,20,FIXED_20d,2025-09-30
FIDA-USD,2025-10-01,2025-10-21,-0.3199164839873823,20,FIXED_20d,2025-09-30
GALA-USD,2025-10-01,2025-10-21,-0.32091241970654677,20,FIXED_20d,2025-09-30
PONKE-USD,2025-10-01,2025-10-21,-0.33654005812322135,20,FIXED_20d,2025-09-30
SLERF-USD,2025-10-01,2025-10-21,-0.7657459497206193,20,FIXED_20d,2025-09-30
KMNO-USD,2025-10-01,2025-10-21,-0.19949882827500978,20,FIXED_20d,2025-09-30
PYUSD-USD,2025-10-01,2025-10-21,-0.00010802695093573278,20,FIXED_20d,2025-09-30
HNT-USD,2025-10-01,2025-10-21,-0.3103889884584987,20,FIXED_20d,2025-09-30
ZETA-USD,2025-10-01,2025-10-21,-0.32154478846709855,20,FIXED_20d,2025-09-30
STSOL-USD,2025-10-01,2025-10-21,-0.1874505621341513,20,FIXED_20d,2025-09-30
BSOL-USD,2025-10-01,2025-10-21,-0.1845189151085306,20,FIXED_20d,2025-09-30
CHILLGUY-USD,2025-10-01,2025-10-21,-0.3699143971032022,20,FIXED_20d,2025-09-30
WIF-USD,2025-11-01,2025-11-21,-0.37906337735570234,20,FIXED_20d,2025-10-31
RAY-USD,2025-11-01,2025-11-21,-0.40596614964685257,20,FIXED_20d,2025-10-31
RENDER-USD,2025-11-01,2025-11-21,-0.25584894868164504,20,FIXED_20d,2025-10-31
FARTCOIN-USD,2025-11-01,2025-11-21,-0.3782734949578653,20,FIXED_20d,2025-10-31
ORCA-USD,2025-11-01,2025-11-21,-0.30679782887839707,20,FIXED_20d,2025-10-31
MNDE-USD,2025-11-01,2025-11-21,-0.3573183952708854,20,FIXED_20d,2025-10-31
MSOL-USD,2025-11-01,2025-11-21,-0.31396422687117015,20,FIXED_20d,2025-10-31
JITOSOL-USD,2025-11-01,2025-11-21,-0.3130680200404648,20,FIXED_20d,2025-10-31
FIDA-USD,2025-11-01,2025-11-21,-0.22248135456768695,20,FIXED_20d,2025-10-31
GALA-USD,2025-11-01,2025-11-21,-0.2893274339457358,20,FIXED_20d,2025-10-31
PONKE-USD,2025-11-01,2025-11-21,-0.3333275922053854,20,FIXED_20d,2025-10-31
SLERF-USD,2025-11-01,2025-11-21,-0.37403387343202094,20,FIXED_20d,2025-10-31
KMNO-USD,2025-11-01,2025-11-21,-0.17917315898855007,20,FIXED_20d,2025-10-31
PYUSD-USD,2025-11-01,2025-11-21,-6.803917768601201e-05,20,FIXED_20d,2025-10-31
HNT-USD,2025-11-01,2025-11-21,-0.2488093268099263,20,FIXED_20d,2025-10-31
IOTX-USD,2025-11-01,2025-11-21,-0.21625130428272166,20,FIXED_20d,2025-10-31
ZETA-USD,2025-11-01,2025-11-21,-0.24688297081270888,20,FIXED_20d,2025-10-31
STSOL-USD,2025-11-01,2025-11-21,-0.31523628050889724,20,FIXED_20d,2025-10-31
BSOL-USD,2025-11-01,2025-11-21,-0.3141060101835429,20,FIXED_20d,2025-10-31
CHILLGUY-USD,2025-11-01,2025-11-21,-0.4376772713542334,20,FIXED_20d,2025-10-31
ZEREBRO-USD,2025-11-01,2025-11-21,-0.4621351110497453,20,FIXED_20d,2025-10-31
WIF-USD,2025-12-01,2025-12-21,-0.031115732334900628,20,FIXED_20d,2025-11-30
RAY-USD,2025-12-01,2025-12-21,-0.08099183885190835,20,FIXED_20d,2025-11-30
RENDER-USD,2025-12-01,2025-12-21,-0.17927955806825002,20,FIXED_20d,2025-11-30
FARTCOIN-USD,2025-12-01,2025-12-21,-0.08578082109170666,20,FIXED_20d,2025-11-30
ORCA-USD,2025-12-01,2025-12-21,-0.09306608500363539,20,FIXED_20d,2025-11-30
MNDE-USD,2025-12-01,2025-12-21,-0.40776052645049216,20,FIXED_20d,2025-11-30
MSOL-USD,2025-12-01,2025-12-21,-0.0029491229847547437,20,FIXED_20d,2025-11-30
