run_id,fire_id,fire_time_utc,fire_epoch,signal_symbol,signal_mint,control_symbol,control_mint,signal_net_5m,control_net_5m,delta_5m,signal_entry_quote_ok,control_entry_quote_ok,signal_fwd_quote_ok_5m,control_fwd_quote_ok_5m,signal_entry_ts_epoch,control_entry_ts_epoch,signal_fwd_due_epoch_5m,control_fwd_due_epoch_5m,signal_fwd_ts_epoch_5m,control_fwd_ts_epoch_5m,signal_entry_jitter_sec,control_entry_jitter_sec,signal_fwd_jitter_5m_sec,control_fwd_jitter_5m_sec,signal_row_valid,control_row_valid,invalid_reason_signal,invalid_reason_control,outlier_flag
1677a7da,1a13087c,2026-03-07T10:45:00+00:00,1772880300,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.0356006,-0.0367973,0.0011967,1,1,1,1,1772880304,1772880304,1772880600,1772880600,1772880606,1772880607,4,4,6,7,1,1,,,0
1677a7da,e38f43c3,2026-03-07T11:00:00+00:00,1772881200,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,-0.072166,-0.0089760999999999,-0.0631899000000001,1,1,1,1,1772881212,1772881213,1772881500,1772881500,1772881505,1772881505,12,13,5,5,1,1,,,0
1677a7da,a2b66b61,2026-03-07T11:15:00+00:00,1772882100,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,-0.0745963,0.0178981,-0.0924944000000001,1,1,1,1,1772882109,1772882109,1772882400,1772882400,1772882401,1772882401,9,9,1,1,1,1,,,0
1677a7da,446444b0,2026-03-07T11:30:00+00:00,1772883000,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,SHAPE,4HhWcsfjaWYKJtjaxd4EyGSAL4Ky8C3DvqAWPHnrpump,0.0321777000000001,-0.0094452,0.0416229000000001,1,1,1,1,1772883005,1772883005,1772883300,1772883300,1772883307,1772883308,5,5,7,8,1,1,,,0
1677a7da,2d9fe8ff,2026-03-07T11:45:00+00:00,1772883900,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.0980826,-0.0421018,-0.0559808,1,1,1,1,1772883911,1772883911,1772884200,1772884200,1772884203,1772884204,11,11,3,4,1,1,,,0
1677a7da,93a8c1ff,2026-03-07T12:00:00+00:00,1772884800,LOLA,7BeoEbgJepbf4mAyw4PZ48TcgrDK25kR7zexV42Apump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,-0.0351202,-0.043303,0.0081827999999999,1,1,1,1,1772884808,1772884808,1772885100,1772885100,1772885100,1772885101,8,8,0,1,1,1,,,0
1677a7da,5f0bfde6,2026-03-07T12:15:00+00:00,1772885700,MINDVOID,9VYUuSVZGw82Nz8rcSix4x4zurBmvkfiKtyvYCY4pump,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,0.2682674,-0.0004977999999999,0.2687652,1,1,1,1,1772885704,1772885705,1772886000,1772886000,1772886006,1772886007,4,5,6,7,1,1,,,1
1677a7da,3afd504c,2026-03-07T12:30:00+00:00,1772886600,比比拉布,4YuD8JVXFeyeowJacXMLY3QKhd6NwaJhto1Xqrnwpump,SOL人生,GWcAPiF2cBf5de8E1eSERcnVdH411NqT2peG7zDJpump,-0.0584442000000001,0.0480145999999999,-0.1064588,1,1,1,1,1772886610,1772886611,1772886900,1772886900,1772886902,1772886903,10,11,2,3,1,1,,,1
1677a7da,e1ec1b53,2026-03-07T12:45:00+00:00,1772887500,CORVUS,CoPRYLGHc7Qadere13xSPhRvgwwStCZn9dHpBZQ7pump,DELULU,6RxB1KdzVMXrrYn7nQWvaGgh5e2EpbA1FcEFtq74pump,0.0277445999999999,-0.0457501,0.0734946999999999,1,1,1,1,1772887506,1772887506,1772887800,1772887800,1772887808,1772887808,6,6,8,8,1,1,,,0
1677a7da,e17e86be,2026-03-07T13:00:00+00:00,1772888400,比比拉布,4YuD8JVXFeyeowJacXMLY3QKhd6NwaJhto1Xqrnwpump,AICOIN,217dt9idH1Q9UXT8rjpknnyFggizXUVD2r5EZNjopump,0.0934778000000001,-0.0472643,0.1407421,1,1,1,1,1772888413,1772888414,1772888700,1772888700,1772888705,1772888706,13,14,5,6,1,1,,,1
